from,to
878911802,2607495604
878911802,4070835184
878911802,2892593722
878911802,3739989806
878911802,2727648062
878911802,1125610307
878911802,2563002376
878911802,1761605076
878911802,16386020
878911802,2444158675
878911802,1262704348
878911802,3436728153
878911802,3501103913
878911802,2094360544
878911802,1475884067
878911802,4059873383
878911802,147570101
878911802,2721262310
878911802,284809354
878911802,1493097462
878911802,2575132512
878911802,1809285569
878911802,3576581397
878911802,2163821018
878911802,435596355
878911802,2405924832
878911802,4023830316
878911802,4160963371
878911802,1985728860
878911802,252656594
878911802,981014442
878911802,257904239
878911802,2652036969
878911802,1267796678
878911802,1098625359
878911802,3432833203
878911802,2618190890
878911802,828657730
878911802,878225249
878911802,3922308260
878911802,171460203
878911802,2327403674
878911802,2964268501
878911802,361830566
878911802,1896324291
878911802,4294329162
878911802,2677184442
878911802,830407570
878911802,2319046850
878911802,3259875466
878911802,1165853197
878911802,3365593372
878911802,3305153399
878911802,379469860
878911802,439120079
878911802,2518389791
878911802,2219374316
878911802,2876592106
2727648062,1830331290
1761605076,1830331290
2444158675,2721262310
2094360544,1475884067
1475884067,2094360544
1985728860,2089349001
252656594,3582891292
252656594,851989733
252656594,1884553545
252656594,1712739043
252656594,139955447
981014442,2704650977
981014442,3077580165
981014442,2102989649
981014442,1692606454
981014442,1135634443
257904239,3422733142
257904239,4010112375
257904239,1712739043
257904239,3918837947
257904239,4116127152
2652036969,1820169232
2652036969,3561877251
2652036969,479641763
2652036969,3756477707
2652036969,2432463759
1267796678,2876592106
1267796678,3367456016
1267796678,2962500215
1267796678,139955447
1267796678,3414800519
1267796678,3038153048
1098625359,2719282222
1098625359,1335877024
1098625359,1884553545
1098625359,1712739043
1098625359,252656594
3432833203,3756477707
3432833203,2421527038
2618190890,3889336615
2618190890,3725880719
2618190890,438076302
2618190890,817781797
2618190890,195443377
878225249,3922308260
2327403674,1604351703
2327403674,3248156931
2327403674,984853388
2327403674,1267796678
1165853197,3305153399
379469860,1750693428
379469860,3209332213
439120079,2518357727
439120079,3456034225
2518389791,3947704488
3485225160,1830331290
3485225160,851989733
3485225160,369128830
3485225160,2244622020
3485225160,354865101
3485225160,3407396608
3485225160,1604351703
3485225160,3304622122
3485225160,3414800519
3485225160,1358349033
3485225160,2164489890
3485225160,1415842121
3485225160,1239602063
3485225160,1693239442
3485225160,2761463017
3485225160,1417522172
3485225160,3245749435
3485225160,3456034225
3485225160,360676283
3485225160,4087878103
1830331290,3445992829
1830331290,3485225160
1830331290,3407396608
1830331290,598684574
1830331290,2320289840
1830331290,1604351703
1830331290,851989733
1830331290,369128830
1830331290,2066294351
1830331290,2389918261
1830331290,354865101
1830331290,4053763528
1830331290,3422733142
1830331290,3431299410
1830331290,1002320987
1830331290,1518888954
851989733,252656594
851989733,4116127152
851989733,2751830803
851989733,3367456016
851989733,1284714552
369128830,1924188091
369128830,1830331290
369128830,4206883050
369128830,3152176404
369128830,1023939629
369128830,1804364800
369128830,1261660718
369128830,2265246653
369128830,1882505364
2244622020,1830331290
2244622020,479641763
2244622020,233821347
2244622020,3248156931
2244622020,922903292
354865101,3207333542
354865101,3984276604
354865101,252656594
354865101,3171183710
354865101,377074810
3407396608,1013430486
3407396608,3332509476
3407396608,3439042256
3407396608,1261660718
3407396608,2265246653
